,carat,cut,color,clarity,depth,table,price,x,y,z
25520,1.64,Premium,G,VS2,62.4,58.0,14330,7.52,7.49,4.68
10866,1.01,Very Good,H,SI1,60.0,58.0,4876,6.54,6.6,3.94
13677,1.02,Good,H,VS1,59.8,63.0,5598,6.54,6.61,3.93
44471,0.59,Very Good,F,SI1,61.4,58.0,1595,5.39,5.45,3.33
14132,1.01,Good,F,VS2,63.3,55.0,5731,6.32,6.39,4.02
3509,0.75,Ideal,E,VS1,62.0,55.0,3402,5.88,5.83,3.66
25733,2.04,Premium,J,VS1,62.6,58.0,14660,8.11,8.06,5.06
39530,0.4,Premium,I,VVS1,61.5,58.0,1080,4.76,4.7,2.91
44208,0.58,Ideal,F,SI1,60.9,55.0,1569,5.39,5.41,3.29
8378,0.31,Ideal,F,VS2,61.9,57.0,583,4.32,4.34,2.68
32599,0.34,Ideal,D,VS2,61.9,55.0,802,4.49,4.52,2.79
22249,1.23,Ideal,G,VVS2,61.0,57.0,10304,6.93,6.9,4.22
45353,0.55,Premium,E,VS2,59.1,62.0,1664,5.37,5.32,3.16
18735,1.02,Ideal,F,VS1,61.0,56.0,7654,6.54,6.5,3.98
30426,0.32,Premium,H,VVS1,60.9,58.0,730,4.4,4.43,2.69
27943,0.23,Very Good,G,VVS2,62.3,57.0,431,3.9,3.92,2.43
32407,0.41,Ideal,D,SI1,62.6,57.0,791,4.74,4.78,2.98
32114,0.43,Ideal,H,SI1,61.9,55.0,783,4.84,4.88,3.01
19213,1.5,Premium,I,SI1,62.3,57.0,7955,7.28,7.22,4.52
10195,0.91,Premium,E,VS2,62.8,59.0,4739,6.17,6.15,3.87
17944,1.03,Good,E,VS1,63.3,59.0,7251,6.4,6.45,4.07
22290,1.53,Ideal,E,SI2,61.2,57.0,10339,7.42,7.46,4.55
23025,0.3,Very Good,G,VVS2,60.3,57.0,631,4.35,4.36,2.63
46487,0.57,Ideal,E,VS2,62.1,55.0,1778,5.37,5.33,3.32
744,0.33,Premium,J,VS1,62.8,58.0,557,4.41,4.38,2.76
46486,0.62,Premium,D,SI2,62.0,59.0,1777,5.48,5.45,3.39
46225,0.61,Ideal,D,SI1,62.1,55.0,1752,5.42,5.43,3.37
12128,1.25,Premium,J,VS2,62.0,59.0,5170,6.87,6.9,4.27
24098,1.72,Good,D,SI2,63.4,62.0,12248,7.53,7.59,4.79
29371,0.31,Very Good,G,VS2,63.5,58.0,698,4.29,4.22,2.7
20408,1.5,Premium,F,SI1,62.1,60.0,8770,7.32,7.27,4.53
8920,1.0,Good,E,SI2,63.3,58.0,4496,6.32,6.35,4.01
25208,1.51,Very Good,G,VS1,63.3,53.0,13811,7.33,7.26,4.62
48378,0.57,Ideal,E,VS1,61.4,57.0,1965,5.32,5.37,3.28
11297,1.16,Premium,H,SI2,62.6,57.0,4979,6.75,6.67,4.2
15922,1.01,Very Good,G,VS1,62.3,60.0,6368,6.35,6.49,4.0
31534,0.31,Very Good,E,VVS2,61.1,55.0,766,4.39,4.41,2.69
44664,0.36,Ideal,I,VS2,61.8,55.0,523,4.58,4.61,2.84
47524,0.54,Ideal,G,VS1,61.4,55.0,1868,5.26,5.3,3.24
9800,1.04,Ideal,F,SI2,62.1,57.0,4668,6.46,6.48,4.02
22753,1.34,Very Good,F,VS1,59.7,60.0,10771,7.17,7.2,4.29
50807,0.87,Ideal,H,SI2,63.0,57.0,2307,6.07,6.02,3.81
1839,0.72,Ideal,D,SI1,61.5,56.5,3062,5.76,5.79,3.55
24460,1.7,Good,H,VS2,62.5,59.0,12723,7.48,7.58,4.71
25571,1.97,Premium,F,SI2,61.1,58.0,14410,8.05,8.11,4.94
51472,0.73,Very Good,H,SI1,62.6,58.0,2377,5.75,5.76,3.6
34738,0.37,Premium,D,VS2,61.0,59.0,876,4.59,4.63,2.81
600,0.7,Premium,F,VS2,59.4,61.0,2838,5.83,5.79,3.45
41100,0.5,Good,I,VS1,61.2,61.0,1193,5.03,5.06,3.09
38411,0.35,Ideal,G,VVS2,61.0,57.0,1024,4.58,4.54,2.78
46538,0.51,Ideal,E,VS2,60.4,57.0,1781,5.18,5.15,3.12
52865,0.89,Fair,G,SI2,58.9,66.0,2579,6.26,6.16,3.66
9185,1.03,Very Good,D,SI2,60.9,57.0,4545,6.53,6.55,3.98
27303,1.69,Very Good,E,VS2,62.7,58.0,17803,7.52,7.6,4.74
24245,2.04,Premium,H,SI1,60.6,61.0,12454,8.15,8.09,4.92
48140,0.49,Premium,D,VVS2,58.8,60.0,1940,5.26,5.14,3.06
21920,1.7,Premium,I,VS2,62.5,58.0,9996,7.52,7.45,4.68
37169,0.32,Ideal,D,VS2,62.5,56.0,972,4.45,4.38,2.76
25709,0.35,Ideal,D,SI1,62.3,57.0,644,4.5,4.52,2.81
12077,1.23,Ideal,J,SI2,62.4,58.0,5158,6.79,6.86,4.26
35417,0.4,Premium,G,SI1,59.3,59.0,900,4.82,4.8,2.85
41593,0.24,Very Good,G,VS1,62.4,56.0,391,3.99,4.03,2.5
33023,0.3,Ideal,D,VVS2,61.9,55.0,814,4.28,4.31,2.66
28736,0.31,Ideal,F,VS1,62.1,56.0,680,4.32,4.35,2.69
8000,1.01,Ideal,G,SI2,59.6,57.0,4327,6.59,6.54,3.91
50671,0.34,Ideal,D,IF,62.1,57.0,2287,4.46,4.52,2.79
9784,1.0,Fair,H,SI1,67.6,59.0,4665,6.03,5.95,4.05
31785,0.42,Ideal,E,SI1,61.5,55.0,773,4.82,4.9,2.99
32796,0.39,Very Good,I,VVS1,61.3,58.0,805,4.74,4.78,2.92
21850,1.3,Premium,F,VS2,60.4,59.0,9909,7.06,7.12,4.28
37468,0.42,Ideal,G,VS1,62.0,55.0,984,4.83,4.78,2.98
26992,2.0,Very Good,I,VS2,63.1,60.0,17084,7.95,7.99,5.03
22376,0.31,Very Good,H,VS2,63.1,57.0,628,4.32,4.27,2.71
16260,1.08,Good,H,VVS1,63.1,57.0,6504,6.52,6.57,4.13
50151,0.71,Premium,G,SI1,62.8,61.0,2215,5.64,5.59,3.53
38960,0.31,Good,I,VS1,63.2,56.0,489,4.28,4.33,2.72
42615,0.36,Very Good,E,SI2,62.6,57.0,505,4.5,4.54,2.83
53392,0.77,Good,D,SI2,63.8,58.0,2665,5.81,5.78,3.7
21759,1.5,Ideal,I,VS2,60.0,61.0,9827,7.39,7.42,4.44
33809,0.4,Premium,F,VS2,59.7,58.0,842,4.79,4.83,2.87
50126,0.47,Fair,D,IF,60.6,60.0,2211,5.09,4.98,3.05
23055,1.51,Very Good,I,VVS1,63.0,59.0,11088,7.24,7.3,4.58
25495,1.57,Ideal,G,VS2,61.7,56.0,14283,7.42,7.49,4.6
1281,0.81,Ideal,H,SI1,62.3,58.0,2951,5.95,5.96,3.71
10815,1.01,Good,H,SI2,63.0,61.0,4865,6.32,6.29,3.97
1891,0.76,Ideal,D,SI1,62.8,57.0,3075,5.81,5.85,3.66
8577,1.05,Very Good,F,SI2,62.1,58.0,4436,6.47,6.5,4.03
29152,0.37,Premium,E,VS2,61.0,59.0,692,4.6,4.65,2.82
24550,1.52,Very Good,G,VS2,62.1,58.0,12840,7.36,7.43,4.59
40529,0.54,Ideal,H,SI1,62.5,56.0,1147,5.2,5.23,3.26
38680,0.3,Ideal,F,VVS1,61.5,56.0,1041,4.32,4.36,2.67
42903,0.59,Very Good,E,SI2,62.9,58.0,1362,5.33,5.39,3.37
48049,0.72,Ideal,J,SI2,61.7,55.0,1926,5.77,5.81,3.57
38213,0.43,Premium,F,SI1,62.4,57.0,1016,4.82,4.79,3.0
38293,0.28,Ideal,D,VS2,61.2,57.0,487,4.2,4.23,2.58
25857,1.41,Very Good,G,VVS1,61.2,55.0,14936,7.22,7.25,4.43
17809,1.23,Very Good,H,VS2,60.2,63.0,7177,6.95,6.91,4.17
44946,0.58,Premium,F,SI1,62.2,61.0,1634,5.33,5.25,3.29
51925,0.9,Fair,J,SI1,64.6,61.0,2438,5.92,5.87,3.81
21435,1.52,Ideal,J,VVS2,62.6,58.0,9541,7.32,7.34,4.59
28669,0.24,Ideal,F,VVS2,61.0,56.0,678,4.05,4.08,2.48
18369,0.39,Very Good,J,VS1,61.0,62.0,616,4.66,4.71,2.86
29408,0.38,Ideal,I,VS1,62.0,54.0,700,4.67,4.72,2.91
49210,0.55,Ideal,E,VS1,61.1,55.0,2079,5.33,5.3,3.25
26366,0.32,Ideal,G,VS1,60.9,56.0,645,4.41,4.45,2.7
28773,0.33,Very Good,G,VS1,60.8,57.0,681,4.5,4.51,2.74
49531,0.6,Premium,E,VS2,59.3,60.0,2124,5.51,5.46,3.25
12679,1.15,Ideal,H,SI2,62.5,58.0,5306,6.65,6.69,4.17
29259,0.31,Ideal,G,VS2,61.4,57.0,698,4.45,4.35,2.7
1780,0.72,Premium,D,SI1,62.6,54.0,3048,5.78,5.72,3.6
36549,0.4,Premium,E,SI1,60.9,56.0,945,4.8,4.76,2.91
21011,1.17,Ideal,G,VVS2,60.6,56.0,9225,6.87,6.84,4.15
46528,0.51,Ideal,G,VS1,61.9,56.0,1781,5.14,5.1,3.17
33606,0.31,Very Good,G,SI1,62.4,55.0,462,4.31,4.34,2.7
11552,1.17,Ideal,F,SI1,63.0,54.0,5032,6.71,6.66,4.21
27045,0.32,Ideal,G,VS1,60.5,56.0,645,4.42,4.44,2.68
22862,1.63,Good,F,SI1,57.7,60.0,10901,7.71,7.79,4.47
579,0.78,Ideal,I,VS2,61.8,55.0,2834,5.92,5.95,3.67
42295,0.32,Very Good,H,VS2,63.0,57.0,505,4.33,4.37,2.74
52995,0.73,Ideal,I,VS1,61.6,55.0,2596,5.77,5.79,3.56
48228,0.57,Premium,E,VS2,61.4,58.0,1949,5.37,5.32,3.28
46247,0.53,Ideal,D,SI1,61.7,56.0,1753,5.23,5.15,3.2
2079,0.7,Premium,F,VVS1,61.9,59.0,3109,5.67,5.6,3.49
36447,0.31,Ideal,D,VS2,62.1,54.0,942,4.37,4.33,2.7
27840,0.31,Good,E,VS2,59.1,56.0,651,4.41,4.46,2.62
39573,0.55,Premium,G,SI2,60.3,58.0,1081,5.33,5.35,3.22
11808,1.01,Premium,F,SI1,62.9,58.0,5090,6.43,6.35,4.02
30504,0.31,Premium,D,SI1,61.7,59.0,732,4.35,4.31,2.67
3777,1.01,Fair,G,SI2,65.1,58.0,3461,6.29,6.21,4.07
43240,0.52,Premium,D,SI1,59.7,60.0,1399,5.26,5.19,3.12
39721,0.52,Ideal,G,SI2,61.6,55.0,1090,5.16,5.19,3.19
30120,0.32,Premium,G,VS2,60.7,58.0,720,4.42,4.38,2.67
33911,0.3,Premium,E,VS2,62.6,58.0,844,4.28,4.25,2.67
13335,0.9,Very Good,F,VVS2,61.0,63.0,5504,6.13,6.09,3.73
43881,0.54,Ideal,I,VS1,62.3,57.0,1452,5.2,5.24,3.25
50148,0.7,Premium,E,SI2,61.1,61.0,2215,5.74,5.69,3.49
53853,0.72,Premium,F,SI1,59.9,58.0,2742,5.85,5.81,3.49
26084,1.62,Ideal,G,VS2,61.7,54.0,15318,7.57,7.58,4.68
15781,2.01,Fair,G,I1,70.2,57.0,6315,7.53,7.5,5.27
22683,0.4,Ideal,E,SI2,61.3,56.0,629,4.75,4.78,2.92
24482,1.71,Good,I,VS1,63.7,58.0,12755,7.58,7.54,4.81
8314,0.91,Very Good,D,SI1,63.5,56.0,4389,6.13,6.18,3.91
45119,0.52,Ideal,D,SI1,62.5,56.0,1651,5.19,5.14,3.23
19329,1.57,Ideal,J,SI1,62.0,55.6,8035,7.43,7.47,4.62
4085,0.77,Ideal,F,VS2,61.8,56.0,3533,5.9,5.92,3.65
12586,1.23,Premium,D,SI2,58.9,58.0,5283,6.99,6.97,4.11
8795,1.04,Very Good,E,SI2,60.7,59.0,4472,6.5,6.54,3.96
38753,0.41,Ideal,F,VVS2,61.8,55.0,1044,4.77,4.81,2.96
45328,0.32,Premium,E,SI1,61.2,58.0,524,4.37,4.42,2.69
23573,1.4,Very Good,G,VS1,59.9,56.0,11584,7.31,7.34,4.39
21449,1.02,Premium,F,VVS1,62.6,59.0,9550,6.41,6.36,4.0
14723,0.3,Very Good,G,VS1,61.4,58.0,605,4.32,4.35,2.66
17567,1.16,Ideal,G,VS2,62.3,57.0,7074,6.66,6.72,4.17
44609,0.53,Ideal,E,SI1,60.6,57.0,1607,5.27,5.23,3.18
37934,0.26,Very Good,G,VVS2,62.6,56.0,486,4.1,4.13,2.57
11346,1.01,Very Good,F,SI1,63.5,59.0,4989,6.38,6.29,4.02
53759,0.72,Premium,F,VS2,62.0,56.0,2724,5.78,5.68,3.55
16522,1.2,Very Good,D,SI2,62.9,59.0,6602,6.7,6.75,4.23
42002,0.59,Very Good,F,SI2,63.7,57.0,1265,5.31,5.36,3.4
26746,2.0,Premium,I,VS2,60.7,60.0,16544,8.02,8.07,4.88
20773,1.01,Good,F,VVS1,63.2,56.0,9012,6.33,6.39,4.02
25840,1.51,Ideal,E,VS2,61.2,57.0,14889,7.37,7.47,4.54
32299,0.34,Ideal,E,SI2,61.4,55.0,454,4.5,4.52,2.77
23593,1.58,Ideal,G,SI1,60.7,56.0,11610,7.56,7.6,4.6
6370,0.32,Very Good,H,SI1,63.1,55.0,576,4.37,4.34,2.75
41465,0.41,Premium,G,VVS1,59.9,59.0,1230,4.83,4.79,2.88
11791,1.03,Premium,F,SI1,60.9,61.0,5087,6.54,6.5,3.97
31857,0.3,Ideal,H,VVS2,60.4,56.0,776,4.36,4.32,2.62
38372,0.42,Ideal,G,VVS1,60.9,55.0,1023,4.83,4.89,2.96
16096,1.23,Ideal,I,VS1,61.5,56.0,6435,6.86,6.89,4.23
27116,1.5,Very Good,F,VVS1,60.0,60.0,17279,7.36,7.44,4.44
34451,0.32,Ideal,I,IF,60.8,54.0,864,4.47,4.44,2.71
41451,0.4,Ideal,G,IF,62.3,55.0,1229,4.74,4.76,2.96
2055,0.32,Premium,G,VS2,62.6,60.0,561,4.33,4.36,2.72
39661,0.42,Ideal,G,VS2,61.6,56.0,1087,4.83,4.82,2.97
43145,0.52,Very Good,E,SI1,62.9,59.0,1389,5.12,5.15,3.23
42560,0.42,Ideal,D,VVS2,62.1,55.0,1326,4.79,4.81,2.98
17586,1.32,Ideal,F,SI1,61.6,56.0,7079,7.11,7.05,4.36
905,0.7,Good,H,VVS1,62.7,56.0,2877,5.6,5.66,3.53
39272,0.31,Ideal,F,SI1,62.3,55.0,490,4.34,4.39,2.72
5541,0.71,Ideal,D,VVS2,61.3,57.0,3856,5.7,5.81,3.53
17154,1.21,Premium,H,VS2,59.3,60.0,6849,6.93,6.99,4.13
369,1.0,Fair,G,I1,66.4,59.0,2808,6.16,6.09,4.07
18361,0.37,Very Good,F,SI1,62.4,59.0,616,4.56,4.6,2.86
9449,1.0,Very Good,D,SI2,62.8,58.0,4595,6.29,6.39,3.98
22834,1.5,Good,E,SI1,61.3,65.0,10868,7.17,7.23,4.41
1222,0.82,Premium,H,VS2,62.6,59.0,2939,5.99,5.93,3.73
34360,0.41,Ideal,F,VS2,62.6,57.0,863,4.76,4.79,2.99
34350,0.42,Premium,D,SI2,62.0,59.0,862,4.83,4.78,2.98
18436,1.5,Premium,H,SI2,62.1,59.0,7500,7.28,7.24,4.51
46649,0.3,Good,H,VS1,63.3,57.0,526,4.22,4.25,2.68
8842,0.9,Ideal,G,VS1,61.4,57.0,4479,6.18,6.32,3.84
39039,0.37,Ideal,G,IF,61.2,56.0,1056,4.61,4.64,2.83
47773,0.51,Very Good,G,VVS2,63.4,57.0,1895,5.09,5.06,3.22
53683,0.58,Very Good,D,VVS2,60.0,55.0,2714,5.44,5.49,3.28
264,0.71,Premium,E,SI1,61.8,59.0,2792,5.7,5.75,3.54
28973,0.31,Very Good,H,SI1,62.8,58.0,435,4.28,4.32,2.7
12323,1.01,Very Good,E,SI1,62.3,60.0,5224,6.36,6.39,3.97
41697,0.54,Premium,G,SI1,61.1,57.0,1241,5.27,5.21,3.2
34398,0.36,Ideal,E,VS1,62.0,54.2,863,4.55,4.58,2.83
7852,0.9,Premium,D,SI1,61.5,58.0,4304,6.21,6.15,3.8
35518,0.43,Very Good,F,VS2,61.6,59.0,905,4.78,4.87,2.97
36641,0.39,Ideal,E,VS1,62.2,55.0,948,4.67,4.7,2.91
16890,1.47,Premium,I,SI2,62.4,55.0,6742,7.34,7.24,4.55
29707,0.31,Ideal,G,VVS2,61.4,56.0,707,4.35,4.38,2.68
9646,1.01,Good,G,SI1,62.8,58.0,4641,6.36,6.29,3.97
39560,0.45,Fair,F,VS2,64.3,59.0,1080,4.8,4.75,3.07
8889,1.06,Good,F,SI1,57.0,64.0,4488,6.8,6.71,3.85
50732,0.75,Premium,I,SI1,59.1,58.0,2295,5.91,5.87,3.48
26799,1.51,Premium,E,VS1,62.7,58.0,16669,7.33,7.25,4.57
558,0.75,Ideal,E,SI1,61.4,57.0,2831,5.82,5.87,3.59
23566,1.75,Ideal,G,SI2,61.6,54.8,11576,7.73,7.78,4.78
8059,0.36,Very Good,H,VS2,61.0,55.0,583,4.62,4.66,2.83
51711,0.7,Very Good,F,SI1,63.5,56.0,2401,5.58,5.66,3.57
1145,0.77,Ideal,D,SI2,60.6,56.0,2922,5.95,5.9,3.59
18742,1.1,Ideal,F,VS2,62.2,57.0,7658,6.62,6.59,4.11
17198,1.0,Ideal,E,VS2,62.9,55.0,6871,6.4,6.36,4.01
46428,0.56,Ideal,H,VS1,61.8,55.0,1770,5.29,5.33,3.28
33070,0.32,Ideal,H,IF,61.6,54.0,814,4.41,4.49,2.74
46514,0.51,Ideal,H,VS1,61.2,55.0,1780,5.17,5.19,3.17
15791,1.24,Premium,D,SI1,59.3,60.0,6319,7.05,7.01,4.16
7049,1.0,Fair,G,SI1,63.1,59.0,4163,6.32,6.27,3.97
46634,0.3,Very Good,E,SI1,62.7,60.0,526,4.24,4.28,2.67
19541,1.55,Very Good,H,SI2,62.5,61.0,8174,7.31,7.34,4.58
38183,0.41,Premium,D,SI1,61.4,58.0,1015,4.78,4.76,2.93
40448,0.46,Premium,F,VS1,63.0,57.0,1139,4.93,4.79,3.06
3598,0.9,Good,D,SI2,63.5,62.0,3425,6.09,6.13,3.88
20208,1.05,Ideal,G,VVS2,62.5,55.0,8645,6.49,6.53,4.07
48570,0.46,Very Good,D,VVS1,61.6,59.0,1993,4.92,4.97,3.05
44423,0.55,Ideal,G,VS2,62.2,54.0,1588,5.27,5.28,3.28
28724,0.31,Ideal,E,VS2,61.8,54.0,680,4.36,4.41,2.71
29796,0.3,Ideal,D,SI1,62.5,57.0,709,4.32,4.29,2.69
4126,1.0,Fair,G,SI2,64.7,58.0,3541,6.24,6.19,4.02
44079,0.51,Ideal,D,SI1,62.0,55.0,1553,5.11,5.15,3.18
23226,1.5,Premium,E,SI1,61.5,58.0,11233,7.28,7.36,4.5
46695,0.5,Good,G,VVS2,64.1,56.0,1791,5.06,5.02,3.23
11959,1.16,Premium,D,SI2,62.5,60.0,5136,6.7,6.64,4.17
6176,0.9,Premium,F,SI1,61.6,60.0,3992,6.19,6.14,3.8
19419,1.51,Very Good,I,SI1,61.4,60.0,8073,7.37,7.33,4.51
21494,1.25,Ideal,G,VS2,60.9,57.0,9590,6.96,6.99,4.25
43440,0.5,Good,G,VS2,57.9,61.0,1415,5.23,5.2,3.02
20200,1.07,Ideal,F,VS2,61.7,57.0,8640,6.52,6.54,4.03
30289,0.3,Good,G,SI1,63.8,56.0,447,4.26,4.3,2.73
36064,0.38,Ideal,E,VS1,61.8,54.7,924,4.66,4.68,2.89
6986,0.92,Premium,H,VS1,61.0,62.0,4155,6.32,6.26,3.84
32023,0.31,Ideal,H,VVS2,61.3,56.0,778,4.37,4.4,2.69
36118,0.48,Ideal,H,SI1,61.2,56.0,927,5.06,5.1,3.11
4717,0.38,Ideal,J,VS2,62.3,55.0,572,4.63,4.65,2.89
15848,1.02,Ideal,D,SI1,62.2,56.0,6340,6.43,6.47,4.0
46426,0.59,Premium,F,VS2,61.5,58.0,1769,5.45,5.41,3.34
43812,0.51,Ideal,E,SI1,61.7,55.0,1443,5.17,5.13,3.18
28242,0.33,Premium,G,VS1,61.8,59.0,666,4.39,4.45,2.73
49332,0.7,Very Good,H,SI2,63.4,55.0,2094,5.59,5.64,3.56
37459,0.42,Ideal,H,VVS2,62.9,56.0,984,4.79,4.75,3.0
21703,0.27,Ideal,G,VVS1,62.5,56.0,627,4.15,4.18,2.6
33962,0.4,Very Good,D,VS2,62.4,60.0,845,4.66,4.67,2.91
44989,0.31,Premium,J,VS1,60.7,60.0,523,4.39,4.34,2.65
9896,0.9,Good,H,VS2,58.2,59.0,4685,6.36,6.33,3.69
3831,1.0,Ideal,I,SI1,58.5,55.0,3472,6.47,6.42,3.77
4382,0.31,Ideal,D,SI1,62.3,55.0,571,4.33,4.37,2.71
7501,1.04,Premium,E,SI2,61.6,59.0,4240,6.57,6.55,4.04
15645,1.0,Premium,G,VS2,60.1,57.0,6272,6.42,6.35,3.84
15278,1.0,Premium,H,VVS1,62.3,60.0,6132,6.36,6.28,3.94
40797,0.43,Ideal,F,VVS2,62.2,55.0,1169,4.83,4.85,3.01
25461,2.05,Premium,J,VS1,62.4,58.0,14224,8.08,8.13,5.06
30165,0.4,Good,D,SI1,63.1,57.0,720,4.69,4.73,2.97
14905,1.01,Premium,G,VS2,62.4,58.0,5999,6.38,6.41,3.99
3400,0.3,Premium,I,VS1,61.6,61.0,567,4.28,4.23,2.62
10305,1.09,Premium,H,SI2,59.6,61.0,4761,6.69,6.63,3.97
1992,0.91,Premium,F,SI2,62.1,56.0,3096,6.26,6.21,3.87
18542,1.47,Premium,G,SI2,61.8,58.0,7557,7.28,7.22,4.48
19324,1.51,Premium,F,SI1,62.0,57.0,8033,7.36,7.28,4.54
15965,1.23,Ideal,I,SI1,61.8,58.0,6389,6.87,6.91,4.26
27774,0.32,Premium,H,VS2,62.3,57.0,648,4.39,4.37,2.73
32969,0.32,Very Good,H,SI1,62.6,55.0,461,4.37,4.38,2.74
299,0.8,Very Good,H,VS2,63.4,60.0,2797,5.92,5.82,3.72
41009,0.55,Premium,E,SI2,61.9,58.0,1185,5.2,5.24,3.23
38919,0.33,Premium,G,IF,60.8,58.0,1052,4.46,4.42,2.7
24280,1.58,Premium,F,SI1,61.4,61.0,12512,7.48,7.45,4.58
17493,1.05,Ideal,G,VS2,61.7,57.0,7028,6.56,6.53,4.04
15366,0.3,Very Good,G,VS1,62.0,60.0,605,4.23,4.28,2.64
47568,0.51,Ideal,G,VVS2,61.9,55.0,1875,5.15,5.19,3.2
33712,0.44,Ideal,D,SI1,61.6,56.0,838,4.9,4.93,3.03
48970,0.36,Ideal,G,SI1,62.7,55.0,537,4.54,4.59,2.86
34304,0.34,Ideal,F,VVS1,61.1,57.0,858,4.55,4.58,2.79
49952,0.3,Premium,H,SI1,60.8,61.0,540,4.3,4.25,2.6
30535,0.39,Good,G,VS2,63.7,53.0,734,4.62,4.67,2.96
50302,0.27,Very Good,D,VVS1,61.0,61.0,544,4.14,4.15,2.53
42319,0.41,Ideal,D,VVS2,62.3,57.0,1295,4.74,4.76,2.96
30750,0.47,Ideal,J,SI1,61.9,55.0,740,5.0,5.05,3.11
27828,0.39,Very Good,E,SI2,63.0,61.0,650,4.62,4.65,2.92
49101,0.52,Very Good,F,VVS2,58.9,60.0,2064,5.23,5.3,3.1
17570,1.2,Ideal,E,SI1,62.3,55.0,7074,6.78,6.84,4.24
30395,0.32,Ideal,G,VVS2,60.6,57.0,730,4.41,4.43,2.68
12628,1.0,Premium,F,SI1,62.6,60.0,5292,6.32,6.3,3.95
48284,0.53,Ideal,E,VS2,62.0,56.0,1956,5.29,5.2,3.25
51000,0.73,Very Good,F,SI1,61.6,62.0,2326,5.71,5.76,3.53
53920,0.7,Very Good,E,VS2,62.4,60.0,2755,5.57,5.61,3.49
26556,1.6,Ideal,F,VS2,60.2,55.5,16240,7.6,7.66,4.59
49411,0.7,Very Good,G,SI1,62.5,57.0,2106,5.63,5.7,3.54
21490,1.5,Ideal,I,VS2,62.6,57.0,9586,7.26,7.31,4.56
9191,0.73,Ideal,D,VVS2,62.0,53.6,4547,5.76,5.8,3.59
39806,0.38,Ideal,F,VVS1,61.9,55.0,1096,4.67,4.7,2.9
18898,1.13,Premium,D,VS2,61.7,58.0,7751,6.7,6.65,4.12
39720,0.54,Premium,G,SI2,61.4,59.0,1090,5.21,5.24,3.21
39252,0.42,Ideal,F,VVS2,61.6,55.0,1069,4.84,4.87,2.99
26961,1.75,Very Good,G,VS1,59.6,60.0,17036,7.76,7.9,4.67
53739,0.73,Good,E,VS2,63.3,60.0,2723,5.67,5.73,3.61
12896,0.81,Ideal,E,VVS2,62.2,53.7,5373,5.97,5.99,3.72
28686,0.36,Ideal,G,VS1,62.3,57.0,678,4.55,4.57,2.84
14244,1.13,Fair,H,SI1,65.3,59.0,5771,6.52,6.44,4.23
19073,1.54,Fair,F,SI2,64.4,60.0,7848,7.26,7.16,4.64
9960,1.07,Premium,F,SI2,62.0,58.0,4700,6.57,6.52,4.06
13223,1.5,Premium,G,SI2,61.7,55.0,5460,7.39,7.32,4.54
9154,0.9,Very Good,G,VS1,62.7,60.0,4540,6.06,6.13,3.82
40255,0.3,Ideal,E,VVS2,61.4,55.0,1125,4.36,4.34,2.67
11395,0.34,Ideal,G,VS2,62.5,57.0,596,4.46,4.5,2.8
6378,0.25,Ideal,E,VVS1,61.2,57.0,576,4.08,4.12,2.51
21433,1.9,Very Good,J,SI1,59.2,58.0,9540,8.1,8.21,4.83
51171,0.5,Ideal,E,VVS2,62.2,57.0,2346,5.08,5.05,3.15
18516,1.08,Ideal,E,VS2,62.0,54.0,7548,6.62,6.57,4.09
49634,0.32,Premium,I,SI1,59.9,61.0,540,4.47,4.44,2.67
44618,0.5,Ideal,H,VVS2,60.4,55.0,1608,5.16,5.2,3.13
15323,1.01,Very Good,G,VS1,61.9,58.0,6152,6.42,6.5,4.0
39014,0.43,Ideal,G,VVS2,61.9,55.0,1056,4.84,4.86,3.0
33034,0.32,Ideal,G,VVS1,61.2,55.0,814,4.41,4.44,2.71
48572,0.59,Very Good,E,VS1,61.6,61.0,1993,5.34,5.37,3.3
21122,1.02,Ideal,G,VVS2,61.8,56.0,9286,6.42,6.46,3.98
38196,0.5,Good,D,SI2,58.5,64.0,1015,5.2,5.12,3.02
24798,1.24,Ideal,G,IF,62.0,55.0,13178,6.93,6.89,4.29
19169,1.08,Ideal,G,VS1,62.4,55.0,7925,6.57,6.63,4.12
26697,0.31,Ideal,G,SI2,61.6,55.6,429,4.34,4.37,2.69
27721,1.94,Premium,F,SI1,62.6,58.0,18735,7.91,7.87,4.94
33100,0.38,Premium,D,SI1,59.1,58.0,815,4.77,4.74,2.81
46044,0.56,Ideal,D,SI1,62.5,56.0,1729,5.28,5.24,3.29
47297,0.3,Very Good,I,SI1,62.2,57.0,394,4.25,4.27,2.65
37539,0.39,Ideal,F,VVS2,61.7,56.0,988,4.7,4.73,2.91
22469,1.52,Very Good,H,VS1,59.8,57.0,10497,7.47,7.55,4.49
41923,0.5,Premium,E,SI2,60.1,60.0,1262,5.13,5.05,3.06
37697,0.41,Ideal,J,VVS1,62.0,57.0,994,4.79,4.73,2.95
40022,0.34,Ideal,D,VS1,60.9,56.0,1109,4.56,4.51,2.76
5317,0.9,Ideal,G,SI2,62.7,53.0,3805,6.18,6.22,3.89
37501,0.3,Premium,E,IF,61.9,61.0,984,4.32,4.27,2.66
42039,0.53,Ideal,H,SI1,61.0,56.0,1268,5.23,5.26,3.2
45155,0.5,Ideal,D,SI1,60.8,56.0,1654,5.14,5.12,3.12
14954,1.21,Good,H,SI1,58.2,58.0,6022,6.98,7.01,4.07
